0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;label
25.0;49.0;28.0;48.0;31.0;47.0;32.0;45.0;33.0;43.0;35.0;41.0;36.0;39.0;38.0;36.0;40.0;33.0;41.0;30.0;43.0;28.0;44.0;25.0;45.0;23.0;46.0;21.0;46.0;18.0;45.0;18.0;44.0;20.0;42.0;21.0;41.0;23.0;40.0;25.0;39.0;27.0;38.0;29.0;37.0;34.0;37.0;39.0;37.0;44.0;37.0;46.0;38.0;49.0;40.0;51.0;41.0;51.0;43.0;51.0;44.0;50.0;46.0;48.0;l
19.0;51.0;21.0;49.0;23.0;46.0;26.0;43.0;28.0;41.0;31.0;39.0;32.0;41.0;32.0;44.0;31.0;46.0;30.0;51.0;29.0;55.0;32.0;49.0;33.0;47.0;36.0;44.0;37.0;42.0;40.0;40.0;40.0;43.0;40.0;46.0;40.0;51.0;39.0;52.0;39.0;56.0;38.0;56.0;42.0;48.0;43.0;46.0;45.0;44.0;47.0;42.0;48.0;47.0;48.0;51.0;48.0;54.0;50.0;56.0;54.0;56.0;56.0;54.0;m
20.0;58.0;23.0;56.0;24.0;54.0;25.0;51.0;26.0;49.0;28.0;46.0;31.0;42.0;33.0;40.0;34.0;40.0;35.0;42.0;35.0;45.0;34.0;47.0;34.0;51.0;33.0;52.0;32.0;57.0;32.0;55.0;35.0;50.0;36.0;47.0;38.0;45.0;39.0;43.0;39.0;46.0;39.0;48.0;38.0;50.0;38.0;53.0;37.0;55.0;37.0;59.0;37.0;62.0;38.0;62.0;39.0;62.0;41.0;61.0;43.0;60.0;45.0;60.0;n
40.0;33.0;38.0;33.0;36.0;35.0;35.0;36.0;33.0;38.0;31.0;40.0;30.0;43.0;29.0;45.0;29.0;48.0;28.0;50.0;28.0;54.0;29.0;56.0;30.0;57.0;31.0;59.0;33.0;60.0;35.0;60.0;38.0;59.0;41.0;56.0;42.0;54.0;43.0;51.0;45.0;49.0;46.0;46.0;47.0;44.0;48.0;42.0;48.0;38.0;48.0;35.0;42.0;34.0;44.0;35.0;47.0;36.0;51.0;35.0;54.0;34.0;57.0;31.0;o
36.0;21.0;35.0;21.0;35.0;23.0;34.0;24.0;33.0;27.0;33.0;30.0;32.0;34.0;31.0;39.0;30.0;44.0;29.0;49.0;28.0;54.0;28.0;58.0;27.0;61.0;27.0;63.0;26.0;64.0;27.0;61.0;27.0;58.0;34.0;20.0;35.0;20.0;37.0;19.0;39.0;19.0;41.0;20.0;42.0;20.0;42.0;24.0;41.0;26.0;40.0;29.0;38.0;31.0;36.0;33.0;34.0;34.0;33.0;35.0;30.0;36.0;31.0;36.0;p
43.0;17.0;44.0;17.0;42.0;16.0;41.0;16.0;40.0;16.0;39.0;17.0;36.0;19.0;34.0;21.0;33.0;22.0;32.0;25.0;32.0;28.0;32.0;30.0;33.0;31.0;34.0;32.0;38.0;32.0;39.0;31.0;40.0;30.0;42.0;27.0;43.0;25.0;44.0;23.0;44.0;14.0;42.0;21.0;41.0;24.0;41.0;29.0;40.0;34.0;40.0;39.0;39.0;45.0;38.0;50.0;38.0;54.0;38.0;57.0;37.0;61.0;38.0;62.0;q
22.0;59.0;23.0;57.0;24.0;56.0;25.0;52.0;25.0;49.0;27.0;42.0;28.0;38.0;29.0;37.0;30.0;35.0;31.0;36.0;33.0;37.0;35.0;37.0;38.0;37.0;39.0;37.0;40.0;37.0;42.0;37.0;43.0;37.0;44.0;36.0;42.0;39.0;41.0;41.0;40.0;43.0;39.0;44.0;38.0;46.0;37.0;47.0;37.0;50.0;37.0;52.0;38.0;53.0;39.0;53.0;40.0;54.0;41.0;54.0;44.0;54.0;46.0;52.0;r
23.0;54.0;24.0;55.0;25.0;55.0;26.0;54.0;27.0;53.0;28.0;52.0;29.0;51.0;30.0;50.0;33.0;48.0;35.0;46.0;36.0;45.0;37.0;44.0;37.0;41.0;38.0;37.0;38.0;39.0;39.0;41.0;40.0;45.0;41.0;48.0;43.0;51.0;43.0;54.0;43.0;56.0;43.0;59.0;41.0;62.0;40.0;63.0;39.0;64.0;38.0;64.0;37.0;64.0;36.0;63.0;35.0;61.0;34.0;58.0;35.0;57.0;36.0;56.0;s
37.0;15.0;38.0;15.0;36.0;17.0;35.0;19.0;34.0;22.0;32.0;26.0;31.0;29.0;28.0;38.0;28.0;42.0;28.0;46.0;28.0;49.0;28.0;52.0;29.0;55.0;30.0;56.0;31.0;58.0;34.0;58.0;36.0;58.0;37.0;57.0;39.0;55.0;40.0;54.0;41.0;52.0;40.0;26.0;40.0;27.0;39.0;27.0;37.0;28.0;36.0;29.0;34.0;30.0;32.0;31.0;31.0;32.0;30.0;33.0;29.0;34.0;28.0;34.0;t
33.0;29.0;32.0;31.0;31.0;35.0;31.0;37.0;30.0;40.0;30.0;43.0;29.0;46.0;29.0;50.0;30.0;51.0;31.0;52.0;32.0;52.0;34.0;51.0;36.0;49.0;38.0;47.0;39.0;45.0;41.0;42.0;42.0;39.0;43.0;35.0;45.0;25.0;44.0;28.0;44.0;30.0;44.0;34.0;44.0;36.0;43.0;38.0;43.0;41.0;43.0;44.0;43.0;49.0;43.0;51.0;44.0;52.0;46.0;51.0;48.0;50.0;49.0;48.0;u
