0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;label
31.0;21.0;32.0;20.0;29.0;28.0;29.0;31.0;28.0;34.0;27.0;38.0;27.0;42.0;27.0;45.0;26.0;48.0;26.0;51.0;26.0;53.0;46.0;14.0;45.0;15.0;43.0;16.0;42.0;17.0;39.0;18.0;37.0;19.0;35.0;21.0;33.0;22.0;32.0;23.0;31.0;24.0;30.0;24.0;47.0;30.0;45.0;30.0;43.0;31.0;41.0;32.0;39.0;33.0;37.0;34.0;34.0;36.0;32.0;37.0;31.0;37.0;30.0;39.0;F
48.0;20.0;46.0;19.0;44.0;20.0;42.0;21.0;40.0;23.0;38.0;26.0;36.0;28.0;35.0;31.0;34.0;34.0;33.0;36.0;32.0;39.0;32.0;43.0;32.0;45.0;33.0;49.0;35.0;51.0;36.0;51.0;38.0;51.0;40.0;51.0;42.0;50.0;44.0;48.0;47.0;46.0;49.0;44.0;50.0;41.0;52.0;39.0;52.0;31.0;49.0;31.0;51.0;30.0;47.0;33.0;44.0;35.0;37.0;39.0;38.0;38.0;41.0;36.0;G
35.0;25.0;34.0;27.0;33.0;30.0;32.0;33.0;31.0;40.0;30.0;44.0;28.0;53.0;27.0;57.0;27.0;60.0;26.0;64.0;47.0;26.0;47.0;29.0;46.0;31.0;46.0;34.0;45.0;37.0;45.0;40.0;44.0;44.0;44.0;47.0;43.0;51.0;43.0;54.0;42.0;56.0;42.0;59.0;41.0;60.0;40.0;61.0;42.0;40.0;40.0;39.0;38.0;40.0;36.0;41.0;34.0;43.0;32.0;44.0;31.0;46.0;28.0;50.0;H
47.0;19.0;48.0;19.0;48.0;20.0;47.0;21.0;47.0;23.0;46.0;25.0;45.0;29.0;44.0;33.0;44.0;37.0;43.0;42.0;42.0;48.0;41.0;52.0;41.0;56.0;40.0;58.0;40.0;59.0;51.0;56.0;51.0;57.0;50.0;57.0;49.0;58.0;44.0;60.0;39.0;63.0;57.0;14.0;57.0;14.0;57.0;14.0;56.0;14.0;55.0;14.0;53.0;15.0;52.0;16.0;49.0;18.0;46.0;21.0;43.0;23.0;40.0;26.0;I
45.0;23.0;45.0;25.0;45.0;28.0;44.0;29.0;44.0;32.0;43.0;34.0;42.0;37.0;41.0;40.0;40.0;43.0;39.0;46.0;38.0;49.0;37.0;52.0;35.0;55.0;34.0;57.0;33.0;58.0;31.0;60.0;30.0;60.0;29.0;58.0;29.0;55.0;29.0;53.0;29.0;51.0;29.0;49.0;30.0;48.0;30.0;46.0;53.0;21.0;50.0;21.0;48.0;22.0;46.0;23.0;45.0;24.0;43.0;25.0;42.0;26.0;41.0;26.0;J
40.0;21.0;39.0;22.0;38.0;25.0;37.0;27.0;36.0;30.0;35.0;34.0;34.0;38.0;33.0;42.0;33.0;46.0;32.0;50.0;31.0;53.0;31.0;55.0;30.0;58.0;55.0;25.0;53.0;26.0;51.0;27.0;47.0;29.0;43.0;33.0;41.0;34.0;39.0;36.0;37.0;38.0;36.0;39.0;35.0;40.0;33.0;41.0;36.0;42.0;38.0;43.0;40.0;46.0;44.0;49.0;45.0;51.0;47.0;53.0;48.0;55.0;49.0;57.0;K
35.0;28.0;34.0;28.0;34.0;29.0;33.0;30.0;33.0;32.0;33.0;34.0;32.0;36.0;31.0;39.0;31.0;42.0;30.0;45.0;29.0;49.0;29.0;52.0;28.0;54.0;28.0;56.0;28.0;58.0;27.0;60.0;27.0;61.0;26.0;63.0;27.0;64.0;28.0;64.0;29.0;64.0;30.0;64.0;32.0;64.0;33.0;64.0;35.0;64.0;38.0;64.0;40.0;64.0;41.0;64.0;42.0;64.0;43.0;64.0;45.0;64.0;44.0;64.0;L
19.0;59.0;23.0;55.0;25.0;53.0;28.0;48.0;29.0;46.0;33.0;42.0;36.0;37.0;40.0;32.0;41.0;30.0;42.0;28.0;43.0;27.0;44.0;27.0;43.0;36.0;42.0;38.0;42.0;41.0;41.0;43.0;40.0;47.0;39.0;51.0;42.0;46.0;43.0;44.0;44.0;42.0;46.0;39.0;49.0;36.0;50.0;34.0;51.0;33.0;53.0;31.0;52.0;38.0;52.0;41.0;51.0;44.0;50.0;47.0;50.0;50.0;49.0;52.0;M
26.0;66.0;30.0;59.0;31.0;57.0;33.0;52.0;34.0;50.0;36.0;45.0;37.0;42.0;40.0;38.0;43.0;32.0;44.0;30.0;45.0;28.0;44.0;35.0;44.0;40.0;44.0;43.0;43.0;46.0;43.0;52.0;42.0;57.0;42.0;62.0;43.0;61.0;44.0;59.0;45.0;58.0;46.0;56.0;48.0;53.0;49.0;51.0;51.0;48.0;52.0;46.0;54.0;43.0;56.0;40.0;58.0;37.0;60.0;34.0;61.0;31.0;64.0;27.0;N
42.0;27.0;40.0;27.0;39.0;28.0;35.0;31.0;33.0;33.0;31.0;35.0;30.0;37.0;27.0;42.0;26.0;45.0;26.0;48.0;25.0;51.0;25.0;56.0;26.0;57.0;27.0;58.0;28.0;59.0;30.0;60.0;32.0;60.0;34.0;59.0;37.0;57.0;40.0;54.0;43.0;51.0;46.0;47.0;48.0;44.0;49.0;40.0;50.0;37.0;50.0;34.0;50.0;31.0;49.0;28.0;46.0;25.0;44.0;24.0;43.0;24.0;41.0;24.0;O
